Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Germany,30.3,109.1,128.7,121.7,154.5,104.1,112.5,97,109.2,103.2
Switzerland,12.5,88.9,97.1,92.4,115.9,80.5,65.1,44.6,44.5,43.4
Belgium,-2,-0.1,12.2,18.7,23.8,19.2,21,20.4,20.3,17.2
UK,-2.6,0,4.7,9.3,10.4,15.1,13.4,7.6,6.9,9.6
Other,-32.8,18.2,11.1,-4,46.4,37.4,41.4,41.4,40.5,39.3
USA,-2.5,51.4,63.5,62,47.5,25.9,33.4,24.8,27.3,28.7
Canada,1.4,5.2,7.4,3.4,5.1,2.6,5,1.5,2,1.5
Mexico,1.8,5.3,3.3,2.8,2.9,2.8,0.1,0.1,0.1,0.1
Venezuela,0,0,2,2,2,2,2.6,2,2,2
Other,0,0,2,2,2,2,2.6,2,2,2
China,21,60.8,102.3,178.6,237.8,249.3,412.1,231.5,220.9,236.8
India,148.6,159.9,117.5,266.3,288,205.9,265.8,109.8,124.2,87.6
Thailand,4.6,42.6,-10.1,63,103.6,101.9,148.9,84.4,68.6,58
Vietnam,56.1,96.2,58.2,67,87.8,71.4,81.8,53.3,42,42.3
Iran,20.2,30.6,15.8,33.8,40.4,44.2,46.4,31.5,27.6,0
South Korea,2.8,-0.6,-16.2,1.2,6,5.5,14.2,16,20.6,15.6
Pakistan,2.6,-4.4,-19.4,7,14.6,12.3,23.9,13.4,15.6,10.5
Saudi Arabia,9,13.5,10.9,14.5,17.4,16.3,17.8,14.6,14.5,11.2
Japan,-56.4,-39.4,-30.8,-41,-47.2,-10.5,2.7,-1.9,11.8,11.8
Indonesia,0.3,2.9,-6,15.3,24.8,22.1,43.1,18.1,11.3,12
Other,23.1,24.3,3.9,19.9,48.8,32.1,58.8,49.3,44,42.1
Australia,1,2.9,4.4,10.2,15.5,14.8,17.6,16.2,15.1,15
Egypt,0.7,0.4,0.7,1.2,0.7,0.8,15.2,9.9,7.4,-1.4
