Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
USA,19,31.8,50.9,44.5,36.5,29.2,37.3,23.8,33.9,41.9
South Africa,6.8,8.7,23.2,20,23.8,23.7,27.5,21.5,27.7,35.2
Canada,9,27.6,38.2,34.1,35.8,23.9,35.5,22.1,29.7,30.6
China,7.2,5.5,6.7,8.5,23.9,21.4,21.8,14.8,22.9,29.7
Turkey,56.7,53.1,30.9,35.6,58.9,39.9,90.6,40.5,19.8,22.4
Austria,5.3,24.9,33.4,17.9,21.1,12.4,20.3,15,23.5,17.4
Iran,15.4,18.4,29.2,39.6,52.3,55,58,33.6,27,14.6
Australia,5.6,9.6,11,8.4,10.6,10,16.2,11.6,9.9,10.9
UK,3.4,4.3,4.7,4.4,5.8,6.8,4.9,4.5,9.5,8.4
Russian,4.3,5.7,6.5,5.4,4.6,6.4,5.7,4.5,4.1,4.2
Germany,5.5,5.5,5,5,4.7,5,4.2,4.2,0.8,1
Mexico,1.2,2.5,0.3,2.3,0.2,1.4,1.4,1.2,1.3,0.9
France,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.8,0.8,0.4
Other,2.5,2.9,5.2,2.9,2.9,2.6,1.9,2,1.3,1.1
