Date,"Gold, US$/oz",Ounces,Tonnes,Value (USD),USA,Canada,Germany,Italy,Liechtenstein,Russia,Switzerland,UK,China,India,Japan,Thailand,Australia,South Africa,Turkey,UAE
3/31/2003,334.85," 264,542 ", 8.23 ," $88,581,916 ",,8.19720,,,,,,,,,,,0.03098,,,
4/30/2003,336.75," 327,270 ", 10.18 ," $110,208,200 ",,9.30812,,,,,,,,,,,0.87112,,,
5/30/2003,361.40," 377,927 ", 11.75 ," $136,582,848 ",,9.30812,,,,,,,,,,,2.44672,,,
6/30/2003,346.00," 392,496 ", 12.21 ," $135,803,645 ",,9.30812,,,,,,,,,,,2.89987,,,
7/31/2003,354.75," 411,731 ", 12.81 ," $146,061,602 ",,9.30812,,,,,,,,,,,3.49815,,,
8/29/2003,375.60," 430,196 ", 13.38 ," $161,581,649 ",,9.30812,,,,,,,,,,,4.07247,,,
9/30/2003,388.00," 494,894 ", 15.39 ," $192,018,904 ",,9.30812,,,,,,,,,,,6.08480,,,
10/31/2003,386.25," 532,605 ", 16.57 ," $205,718,713 ",,9.30812,,,,,,,,,,,7.25775,,,
11/28/2003,398.35," 556,958 ", 17.32 ," $221,864,252 ",,9.30812,,,,,,,,,,,8.01521,,,
12/31/2003,416.25," 1,332,672 ", 41.45 ," $554,724,615 ",,9.54782,,,,,,23.48494,,,,,8.41797,,,
1/30/2004,399.75," 1,358,936 ", 42.27 ," $543,234,757 ",,9.54782,,,,,,24.25691,,,,,8.46291,,,
2/27/2004,395.85," 1,513,082 ", 47.06 ," $598,953,446 ",,12.60796,,,,,,25.80629,,,,,8.64786,,,
3/31/2004,423.70," 1,958,298 ", 60.91 ," $829,730,654 ",,12.60796,,,,,,40.10678,,,,,8.19511,,,
4/30/2004,388.50," 2,794,981 ", 86.93 ," $1,085,849,935 ",,16.59419,,,,,,62.20005,,,,,8.13938,,,
5/28/2004,393.25," 2,214,385 ", 68.88 ," $870,806,806 ",,16.59419,,,,,,44.20530,,,,,8.07558,,,
6/30/2004,395.80," 2,114,096 ", 65.76 ," $836,759,279 ",,16.59419,,,,,,41.08759,,,,,8.07396,,,
7/30/2004,391.40," 2,093,361 ", 65.11 ," $819,341,318 ",,16.59419,,,,,,38.28300,,,,,10.23360,,,
8/31/2004,407.25," 2,022,544 ", 62.91 ," $823,680,897 ",,16.59419,,,,,,38.30263,,,,,8.01132,,,
9/30/2004,415.65," 2,048,743 ", 63.72 ," $851,559,998 ",,16.59419,,,,,,39.07248,,,,,8.05636,,,
10/29/2004,425.55," 2,388,898 ", 74.30 ," $1,016,595,411 ",,16.59419,,,,,,50.25427,,,,,7.45457,,,
11/30/2004,453.40," 5,712,442 ", 177.68 ," $2,590,021,098 ",103.57178,16.59419,,,,,,47.31027,,,,,7.45308,2.74749,,
12/31/2004,435.60," 5,571,774 ", 173.30 ," $2,427,064,938 ",94.85696,16.82721,,,,,,51.09542,,,,,7.52673,2.99523,,
1/31/2005,422.15," 7,480,828 ", 232.68 ," $3,158,031,689 ",153.12124,19.81315,,,,,,49.22594,,,,,7.52524,2.99421,,
2/28/2005,435.45," 8,985,554 ", 279.48 ," $3,912,759,473 ",204.83045,19.81315,,,,,,44.32135,,,,,7.52371,2.99331,,
3/31/2005,427.50," 8,514,481 ", 264.83 ," $3,639,940,581 ",185.80771,19.81315,,,,,,48.81886,,,,,7.52219,2.86805,,
4/29/2005,435.70," 8,637,494 ", 268.66 ," $3,763,356,311 ",191.32720,19.81315,,,,,,46.75899,,,,,7.88961,2.86715,,
5/31/2005,414.45," 8,590,366 ", 267.19 ," $3,560,277,227 ",191.57970,19.81315,,,,,,45.04320,,,,,7.88806,2.86615,,
6/30/2005,437.10," 8,463,449 ", 263.24 ," $3,699,373,528 ",187.79475,19.81315,,,,,,44.88365,,,,,7.88594,2.86519,,
7/29/2005,429.00," 8,944,460 ", 278.20 ," $3,837,173,204 ",201.52977,19.81315,,,,,,46.11316,,,,,7.88343,2.86429,,
8/31/2005,433.25," 9,161,029 ", 284.94 ," $3,969,015,676 ",208.28646,19.81315,,,,,,46.09641,,,,,7.88056,2.86326,,
9/30/2005,473.25," 9,670,258 ", 300.78 ," $4,576,449,713 ",223.25591,19.81315,,,,,,46.94273,,,,,7.90458,2.86230,,
10/31/2005,470.75," 9,884,468 ", 307.44 ," $4,653,113,472 ",226.89943,19.81315,,,,,,49.83750,,,,,8.02992,2.86133,,
11/30/2005,495.65," 10,806,494 ", 336.12 ," $5,356,238,613 ",248.81488,19.81315,,,,,,56.35151,,,,,8.15574,2.98425,,
12/30/2005,513.00," 12,357,736 ", 384.37 ," $6,339,518,738 ",285.44094,19.81315,,,,,,63.01937,,,,,8.40606,7.68906,,
1/31/2006,568.75," 14,968,553 ", 465.57 ," $8,513,364,295 ",362.30453,19.98044,,,,,,65.32938,,,,,8.54024,9.41944,,
2/28/2006,556.00," 15,644,769 ", 486.61 ," $8,698,491,512 ",377.52633,19.98044,,,,,,70.05254,,,,,8.76456,10.28284,,
3/31/2006,582.00," 15,993,220 ", 497.44 ," $9,308,054,268 ",383.28364,19.98044,,,,,4.20000,70.65052,,,,,8.80340,10.52675,,
4/28/2006,644.00," 16,763,782 ", 521.41 ," $10,795,875,620 ",397.54962,19.98044,,,,,8.00000,76.04554,,,,,9.06542,10.77089,,
5/31/2006,653.00," 16,544,694 ", 514.60 ," $10,803,685,144 ",387.85058,20.52397,,,,,10.00000,76.01782,,,,,9.31453,10.89060,,
6/30/2006,613.50," 17,564,690 ", 546.32 ," $10,775,937,069 ",413.05949,20.52397,,,,,14.00000,78.23712,,,,,9.61530,10.88703,,
7/31/2006,632.50," 18,033,031 ", 560.89 ," $11,405,892,309 ",426.84162,20.52397,,,,,14.00000,78.21032,,,,,9.68948,11.62458,,
8/31/2006,623.50," 18,280,136 ", 568.58 ," $11,397,665,024 ",435.19890,20.52397,,,,,15.00000,78.18351,,,,,9.77784,9.89156,,
9/29/2006,599.25," 18,140,108 ", 564.22 ," $10,870,459,791 ",429.49615,20.52397,,,,,15.00000,78.15844,,,,,9.95367,9.88820,1.20000,
10/31/2006,603.75," 18,386,823 ", 571.89 ," $11,101,044,371 ",431.20417,21.86018,,,,,14.00000,83.66607,,,,,10.07877,9.88493,1.20000,
11/30/2006,646.70," 20,378,908 ", 633.85 ," $13,179,039,867 ",484.14599,21.86018,,,,,16.00000,90.32372,,,,,10.44330,9.88170,1.20000,
12/29/2006,632.00," 20,674,900 ", 643.06 ," $13,066,536,523 ",497.70358,21.86018,,,,,16.00000,85.41841,,,,,10.53086,10.24822,1.30000,
1/31/2007,650.50," 20,659,900 ", 642.59 ," $13,439,265,243 ",493.97960,23.92552,,,,,16.00000,86.47557,,,,,10.66918,10.24486,1.30000,
2/28/2007,664.20," 21,731,257 ", 675.92 ," $14,433,901,125 ",525.58663,23.92552,,,,,16.00000,87.07059,,,,,11.30017,10.73474,1.30000,
3/30/2007,661.75," 21,910,850 ", 681.50 ," $14,499,504,663 ",528.66076,23.92552,,,,,16.00000,88.84528,,,,,11.42499,11.34705,1.30000,
4/30/2007,677.00," 22,334,968 ", 694.70 ," $15,120,773,418 ",538.04064,23.92552,,,,,16.00000,91.16355,,1.37382,,,11.54819,11.34344,1.30000,
5/31/2007,659.10," 21,647,833 ", 673.32 ," $14,268,086,688 ",514.15581,23.92552,,,,,16.00000,91.72353,,1.48371,,,11.91711,12.81718,1.30000,
6/29/2007,650.50," 21,835,828 ", 679.17 ," $14,204,206,117 ",510.28831,23.92552,,,,,21.70000,95.01020,,1.48371,,,12.28031,13.18212,1.30000,
7/31/2007,665.50," 23,069,796 ", 717.55 ," $15,352,949,316 ",543.05259,23.92552,,,,,22.10900,96.89942,,3.49874,,,12.48021,14.28539,1.30000,
