Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
China,320.4,357.6,392.7,474.4,586.7,643,1142.1,868.3,784.6,639.4
India,557.8,599.8,471.4,657.6,618.3,552,612.7,662.1,674.5,463.1
USA,257.9,188.1,150.3,121.4,111.5,104.2,122,131.1,140.5,138.2
UAE,99.8,100,74.6,71.6,62.1,55.5,68.6,59.9,55.3,46.2
Iran,47.4,45.8,39.9,42.3,41.3,43.4,47.9,35.7,35.4,39.7
Turkey,188.1,153.2,75.2,67.4,70.1,61.5,73.3,68.2,49.3,39.7
Saudi Arabia,122,110.9,81.8,71.6,55.7,47.1,59,52.8,57.5,38.1
Indonesia,59.2,59.9,45,37.8,42.2,46.7,53.7,47.7,40.1,34.2
Russian,85.7,92.4,56.7,60.1,64.7,69.6,73.3,70.6,34.1,30.2
Egypt,67.8,74.3,56.7,53.4,33.8,39.7,45.1,46.9,40.9,27.9
South Korea,62.2,53.2,47.6,43.4,35.1,31.6,29.8,29.5,28.7,26.9
UK,50.3,37.2,31.8,27.3,22.6,21.4,23.4,27.6,27.4,25.2
Israel,28.4,28.1,26.6,25.7,21.9,21.5,25.3,23.3,24.8,20.2
Kuwait,24.3,23.6,19.1,18.1,16.9,16.1,21.2,24.9,23.1,20.1
Japan,31.7,31.2,22.3,21.3,16.6,16.7,21.4,20,19.7,19.8
Bangladesh,6.4,5.8,4.6,4.2,12.3,15.2,15.6,16.2,16.5,18.1
Italy,57.4,49.1,41.4,34.9,27.6,22.3,20.2,18.8,18.1,17.6
Canada,24.7,22.3,18.6,17.5,16.3,15.7,16.3,16.7,16.9,16.6
Vietnam,22.2,21.5,16.4,15.6,14.2,12.6,13.5,14.2,15.8,16.3
