Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Argentina,42.5,40.3,48.8,63.5,59.1,54.6,50.1,59.7,63.8,57.4
Australia,247.4,215.2,223.5,260.8,258.6,251.7,268.1,274,279.2,290.5
Brazil,58.1,58.7,64.7,67.5,67.3,67.3,80.1,83,81.8,83.3
Burkina Faso,2.9,6.9,13.8,25.3,34.1,31.3,35,38.5,38,40.4
Canada,102.2,95,96,103.5,107.8,107.8,133.6,152.1,159,165
Chile,41.5,39.2,40.8,38.4,44.5,48.6,48.6,44.1,40.8,40.6
China,280.5,292,324,350.9,371,411.1,432.2,478.2,450.1,453.5
Colombia,26,26,27,33.5,37.5,39.1,41.2,43.1,47.6,48.3
Congo (DRC),6.5,7.2,10,17,22,26.1,25.3,40,45.7,44.4
Dominican Republic,0,0,0.3,0.5,0.5,4.1,26.5,35.6,31.1,38
Ecuador,14,14,14,17.2,17.6,17.6,17.4,17.8,17.6,15.2
Egypt,0,0,0,4.7,6.3,8.2,11.1,11.8,13.7,17.1
Ghana,77.3,80.4,90.3,92.4,91,95.7,107.4,107.4,95.1,95
Guinea,18,23.9,22.5,20.4,19.7,18.4,19,21,20,20
Guyana,9.7,10.5,11.9,12.8,14.4,14.4,14.4,14.4,15.7,21.1
Indonesia,189.5,135.9,204.5,184.1,165.1,131,152.7,158.4,176.3,168.2
Ivory Coast,3,5.3,8.6,7.3,13.4,14,13.6,18,22.2,22.6
Kazakhstan,22.6,22,22.5,29.9,36.7,40,42.6,46.1,48.2,48
Kyrgyzstan,10.5,18.4,17,18.5,19.7,11.3,20.2,19.2,18.4,19.6
Mali,51.9,47,49.1,43.9,43.5,50.3,48.2,47.4,49,49.8
Mexico,43.7,50.8,62.4,79.4,88.6,102.8,119.8,118.1,135.8,120.5
Mongolia,18.4,16.5,14.1,13.9,12.4,12.8,17.8,30.5,31.3,20.5
New Zealand,10.6,13.4,13.4,13.7,11.6,10.2,12.4,11.3,12.2,9.3
Other,119.9,119.7,135.8,149.4,169.9,173.8,170.6,167.3,168.9,163.3
Peru,183.6,195.5,201.4,184.8,189.6,184.4,187.7,173,175.9,164.5
Philippines,38.8,35.6,37,40.8,37.1,41,40.3,42.8,46.7,48.5
PNG,61.7,70.3,70.6,69.7,63.5,57.2,62.4,56.3,57.2,59.9
Russia,169,186.4,200.9,195,204.4,214.9,232.7,247.5,249.5,253.5
South Africa,269.9,233.8,219.5,199.9,190.8,163.5,168.9,159.2,151,150
Sudan,3.1,2.7,4,10.1,22.5,27.9,20.1,21.5,16.5,21.5
Suriname,16.1,17.9,20.8,22.9,24.6,26.5,27,26.6,25.4,30.2
Tanzania,40.1,35.6,40.9,44.6,49.6,49.1,46.6,45.8,46.8,48.7
Turkey,10.1,11.4,14.5,16.6,24.1,29.6,33.5,31,27.5,26.2
USA,238,233.6,221.4,229.7,233.5,232.4,229.6,208.7,218.2,236
Uzbekistan,72.9,72.2,70.5,71,71.4,73.3,77.4,81,83.2,82.9
Venezuela,24.3,24.3,24.8,24.9,25.5,21.8,22.9,23.2,27.2,27.2
Zimbabwe,13.5,8.9,9.8,16.3,19,19.5,19.6,18.8,22,21.5
