,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
US dollar,226.0,512.0,589.8,397.5,456.9,382.4,308.3,326.8,388.8,484.1,410.3,398.6,386.2,353.2,332.9,391.8,383.3,387.0,369.3,290.2,287.8,290.3,274.5,276.5,347.2,416.25,435.6,513,632,833.75,869.75,1087.5,1405.5,1531,1657.5,1204.5,1206,1060,1145.9
Euro,137.1,299.1,392.4,327.5,429.9,432.0,402.4,347.5,337.8,351.8,332.7,310.7,265.7,250.3,266.7,348.2,308.8,290.7,290.5,266.1,245.1,289.6,292.3,310.5,330.85567,330.00355,320.47074,434.91159,479.27804,570.26091,625.6969,757.97171,1047.66876,1179.37142,1257.20621,874.12477,996.65333,975.7895,1086.41899
Japanese yen,#N/A,"125,630.3","119,823.1","87,899.5","105,366.4","88,442.8","77,716.7","65,490.6","61,832.1","58,714.4","51,253.0","57,287.2","53,028.2","44,151.4","41,576.2","43,592.9","38,236.8","39,921.0","42,858.8","37,733.2","32,463.8","29,708.5","31,342.2","36,238.1",41202.21757,44609.51174,44635.91087,60549.38937,75305.95923,93142.3782,78842.83219,101240.7972,113993.0715,117795.1204,143315.7314,126598.9674,144593.3568,127512.6981,133652.0288
Pound sterling,110.7,230.6,246.7,208.2,282.5,263.5,266.0,226.1,262.2,257.7,226.8,247.2,200.1,188.7,219.9,264.8,245.0,249.3,215.8,176.4,173.0,180.1,183.7,190.0,215.6656,232.52245,226.88675,298.82059,322.91861,418.84364,604.93833,673.43754,897.71022,985.13667,1019.68642,727.24528,773.44883,719.18048,927.36675
Canadian dollar,#N/A,611.8,703.7,475.3,551.2,474.5,408.2,457.2,540.0,629.5,488.5,461.6,453.8,408.5,425.3,517.1,537.6,527.8,506.1,415.3,442.1,421.2,412.2,441.4,548.50636,537.89893,521.91383,599.26092,735.45786,822.86955,1073.70632,1140.07995,1396.57502,1558.94,1650.37265,1279.78125,1396.84933,1472.44507,1536.70814
Swiss franc,#N/A,835.6,"1,047.8",719.7,899.8,831.9,803.8,673.6,630.2,616.8,616.2,614.9,498.4,478.8,487.8,580.1,501.6,445.3,495.8,423.3,395.3,464.6,444.7,459.1,480.07336,514.79704,495.32027,676.10799,771.48196,943.92981,925.71769,1124.20267,1310.06655,1431.63804,1517.19256,1071.22207,1198.34185,1061.05942,1164.63513
Indian rupee,#N/A,"4,189.6","4,620.3","3,625.1","4,320.0","3,995.0","3,825.8","3,920.6","5,061.0","6,116.8","6,123.1","6,624.8","6,948.9","9,080.6","9,639.3","12,252.6","12,022.1","13,608.8","13,228.4","11,378.7","12,230.4","12,631.0","12,811.3","13,332.8",16648.2366,18991.4063,18935.5195,23090.1272,27972.3165,32862.2507,42374.2078,50606.7999,62846.9274,81303.7485,90814.4139,74504.3424,76125.7321,70125.625,77772.2208
Chinese renmimbi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"1,047.4","1,430.9","1,758.9","1,516.9","1,873.5","2,039.2","1,900.6","1,931.5","2,265.5","3,237.0","3,218.8","3,064.2","2,402.7","2,382.7","2,403.1","2,271.7","2,288.5",2873.77381,3445.17599,3605.24208,4140.01258,4932.82288,6089.79261,5934.30421,7424.36213,9261.82299,9636.1135,10326.72217,7291.92227,7482.02342,6883.21589,7963.43037
US dollar,226.0,512.0,589.8,397.5,456.9,382.4,308.3,326.8,388.8,484.1,410.3,398.6,386.2,353.2,332.9,391.8,383.3,387.0,369.3,290.2,287.8,290.3,274.5,276.5,347.2,416.25,435.6,513,632,833.75,869.75,1087.5,1405.5,1531,1657.5,1204.5,1206,1060,1145.9
Turkish lira,#N/A,#N/A,#N/A,#N/A,0.1,0.1,0.1,0.2,0.3,0.5,0.7,0.9,1.1,1.8,2.9,5.8,14.8,23.6,40.3,60.1,90.8,157.4,184.0,402.3,576.35187,584.83114,587.4061,693.31927,895.22746,977.36327,1342.45908,1630.10709,2163.06388,2891.44567,2958.13932,2587.86763,2819.32587,3093.98094,4030.81647
