Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Australia,1.5,2,3.1,6.8,12,10.2,7.3,6.6,5.5,5.4
Brazil,6.4,7.5,11.4,16.1,22.2,24.6,16,9.8,6.8,7.4
Canada,6.3,6.9,9.2,11.1,10.8,9.8,6.7,5.7,5.1,4.6
China,41.6,70.3,116.3,133.2,143.6,165.6,176.3,197.7,225,232.5
Eqypt,56.5,35.8,65,48,47.6,53.6,43.2,39.9,35.1,38.9
France,16.8,21.2,24.9,29.2,40.3,33.5,26.7,21.5,22,23
Germany,18.8,24.4,32.7,44.1,45.5,40.3,31.1,23.8,23.1,24.7
India,73,89.5,115.5,81,58.5,113,100.8,74.2,87.5,131.4
Indonesia,68,72.5,79.9,64.9,58.3,49,36.2,36.3,46.1,55.1
Iran,23.1,26,32.2,32.7,32.4,32.9,24.3,22.1,17.7,17.3
Iraq,5.4,7.4,20.3,19.1,17.1,15.3,10.8,10.4,8.4,8
Italy,57.1,61,78,98,116.5,122.6,85.5,75.4,68.9,70.4
Japan,25.9,53.6,35.3,43.9,55.1,42.2,36.2,26.1,28.8,31.6
Kazakhstan,2.2,2.5,3.1,3,3.1,3.2,2.9,7.9,11.5,14.1
Libya,9.5,10.4,13.4,15.8,16.6,14.4,8.8,8.2,7.7,8.3
Malaysia,16.4,18.4,19.3,22.2,19.2,16.7,13.3,12.4,10.9,10.4
Mexico,17.6,28.1,40.8,45.6,47.6,54.1,37.2,27.2,24.4,27
Morocco,6.3,6.4,9.7,9.3,12,11.3,9.4,9,8.8,9.3
Other,148.6,161.5,212.6,241.9,248.7,234.2,159.7,138.7,128.9,132.3
Pakistan,31.7,35.5,53.9,50.4,42.7,47.2,37.2,28.8,22.5,24
Portugal,0.9,1.1,1.5,8.6,15.5,16,11.2,9.1,9.4,9.7
Russian,20.7,21.4,28.7,26.4,23.5,24.2,18.6,29.8,37.9,34.1
S. Korea,36.1,56.3,57.1,48.8,47.2,37.8,26.1,27.7,29.4,31
Saudi Arabia,56.4,69.4,57.3,44.1,37.1,33.5,23.6,20.8,16.8,16
Spain,5.8,10.6,20.1,31.9,32.7,35.9,23.5,18.7,15.7,17.3
Taiwan,18.5,33.6,34.9,27.5,19.5,15.4,12,11.1,10.7,12.7
Thailand,37.4,51.7,66,44.7,52.4,43.6,30.6,25.7,24.6,27.6
Turkey,71.5,199,217.2,122,78,72.3,56.3,41.4,72.4,77.3
UAE,43.8,59.4,70.6,110,71.4,73.4,57,51.4,43.5,42.2
UK,11.7,38.7,59.4,69.8,76,69,41,31.2,30.4,38.2
USA,84.5,93.5,124,143,159.9,149.4,105.8,83.5,63.8,58.7
Vietnam,9,12.2,51.5,49.8,41.1,36.4,28.2,26.2,22.8,27.5
